PLAYER,POS,TEAM
Damian Jones,C,GSW
Thomas Bryant,C,LAL
Matt Costello,C,SAS
Mangok Mathiang,C,CHA
Jahlil Okafor,C,BKN
Joakim Noah,C,NYK
Khem Birch,C,ORL
Cole Aldrich,C,MIN
Ivica Zubac,C,LAL
Ike Anigbogu,C,IND
Tony Bradley,C,UTA
Ante Zizic,C,CLE
Jeff Withey,C,DAL
Zhou Qi,C,HOU
Udonis Haslem,C,MIA
Boban Marjanovic,C,DET
Dakari Johnson,C,OKC
Georgios Papagiannis,C,SAC
JaVale McGee,C,GSW
Omer Asik,C,NOP
Tarik Black,C,HOU
Andrew Bogut,C,LAL
Kevon Looney,C,GSW
Willie Reed,C,LAC
Jason Smith,C,WAS
Willy Hernangomez,C,NYK
Deyonta Davis,C,MEM
Meyers Leonard,C,POR
Joffrey Lauvergne,C,SAS
Salah Mejri,C,DAL
Lucas Nogueira,C,TOR
Marreese Speights,C,ORL
Montrezl Harrell,C,LAC
Al Jefferson,C,IND
Nerlens Noel,C,DAL
Channing Frye,C,CLE
Zach Collins,C,POR
David West,C,GSW
Daniel Theis,C,BOS
Timofey Mozgov,C,BKN
Cristiano Felicio,C,CHI
Jordan Bell,C,GSW
Zaza Pachulia,C,GSW
Ian Mahinmi,C,WAS
Amir Johnson,C,PHI
Bismack Biyombo,C,ORL
Ekpe Udoh,C,UTA
Kyle O'Quinn,C,NYK
Richaun Holmes,C,PHI
Jarrett Allen,C,BKN
Miles Plumlee,C,ATL
Jakob Poeltl,C,TOR
Gorgui Dieng,C,MIN
Dwight Powell,C,DAL
Tristan Thompson,C,CLE
Ed Davis,C,POR
Aron Baynes,C,BOS
Kosta Koufos,C,SAC
Thon Maker,C,MIL
Tyler Zeller,C,BKN
Bam Adebayo,C,MIA
Cody Zeller,C,CHA
Mason Plumlee,C,DEN
Jonas Valanciunas,C,TOR
Greg Monroe,C,PHX
Alex Len,C,PHX
Julius Randle,C,LAL
Mike Muscala,C,ATL
Brook Lopez,C,LAL
John Henson,C,MIL
Domantas Sabonis,C,IND
Dewayne Dedmon,C,ATL
Pau Gasol,C,SAS
Tyson Chandler,C,PHX
Dirk Nowitzki,C,DAL
Willie Cauley-Stein,C,SAC
Clint Capela,C,HOU
Enes Kanter,C,NYK
Hassan Whiteside,C,MIA
Jusuf Nurkic,C,POR
Derrick Favors,C,UTA
Marcin Gortat,C,WAS
Robin Lopez,C,CHI
Dwight Howard,C,CHA
Kevin Love,C,CLE
Nikola Jokic,C,DEN
Rudy Gobert,C,UTA
Nikola Vucevic,C,ORL
Myles Turner,C,IND
Joel Embiid,C,PHI
Andre Drummond,C,DET
DeAndre Jordan,C,LAC
Al Horford,C,BOS
Steven Adams,C,OKC
LaMarcus Aldridge,C,SAS
Marc Gasol,C,MEM
DeMarcus Cousins,C,NOP
Karl-Anthony Towns,C,MIN
Jack Cooley,PF,SAC
Johnathan Motley,PF,DAL
Tyler Lydon,PF,DEN
James Michael McAdoo,PF,PHI
Alec Peters,PF,PHX
Ivan Rabb,PF,MEM
Josh Smith,PF,NOP
Vincent Hunter,PF,MEM
Darrell Arthur,PF,DEN
Jacob Wiley,PF,BKN
Adreian Payne,PF,ORL
D.J. Wilson,PF,MIL
Brice Johnson,PF,LAC
Guerschon Yabusele,PF,BOS
Alex Poythress,PF,IND
Nick Collison,PF,OKC
Chris McCullough,PF,WAS
Joel Bolomboy,PF,MIL
Cheick Diallo,PF,NOP
Henry Ellenson,PF,DET
Caleb Swanigan,PF,POR
TJ Leaf,PF,IND
Davis Bertans,PF,SAS
Johnny O'Bryant III,PF,CHA
Eric Moreland,PF,DET
Dorian Finney-Smith,PF,DAL
Juan Hernangomez,PF,DEN
Josh Huestis,PF,OKC
Okaro White,PF,MIA
Jared Dudley,PF,PHX
Tyler Cavanaugh,PF,ATL
Sam Dekker,PF,LAC
Patrick Patterson,PF,OKC
Semi Ojeleye,PF,BOS
Brandan Wright,PF,MEM
Jordan Mickey,PF,MIA
Nemanja Bjelica,PF,MIN
Skal Labissiere,PF,SAC
Mirza Teletovic,PF,MIL
Kenneth Faried,PF,DEN
Jarell Martin,PF,MEM
Jon Leuer,PF,DET
Michael Beasley,PF,NYK
Quincy Acy,PF,BKN
Trey Lyles,PF,DEN
Jonas Jerebko,PF,UTA
Noah Vonleh,PF,POR
Lance Thomas,PF,NYK
Jonathan Isaac,PF,ORL
Maxi Kleber,PF,DAL
Mike Scott,PF,WAS
Anthony Tolliver,PF,DET
Pascal Siakam,PF,TOR
Marquese Chriss,PF,PHX
Trevor Booker,PF,PHI
Jerami Grant,PF,OKC
Dragan Bender,PF,PHX
Bobby Portis,PF,CHI
Jeff Green,PF,CLE
Kelly Olynyk,PF,MIA
Rudy Gay,PF,SAS
John Collins,PF,ATL
Frank Kaminsky,PF,CHA
Markieff Morris,PF,WAS
Marcus Morris,PF,BOS
Ersan Ilyasova,PF,ATL
Luc Mbah a Moute,PF,HOU
Nikola Mirotic,PF,CHI
Zach Randolph,PF,SAC
Marvin Williams,PF,CHA
James Johnson,PF,MIA
JaMychal Green,PF,MEM
Serge Ibaka,PF,TOR
Ryan Anderson,PF,HOU
Al-Farouq Aminu,PF,POR
Lauri Markkanen,PF,CHI
Paul Millsap,PF,DEN
Dario Saric,PF,PHI
Kristaps Porzingis,PF,NYK
